STATEA,COUNTYA,AJWME001,AJXCE001,AJXCE002,AJXCE003,AJXCE004,AJXCE005,AJXCE006,AJXCE007,AJXCE008,AJXCE009,AJXCE010,AJXCE011,AJXCE012,AJXCE013,AJXCE014,AJXCE015,AJXCE016,AJXCE017,AJXCE018,AJXCE019,AJXCE020,AJXCE021
1,1,55200,24428,23244,21136,2108,1724,268,63,42,11,26,26,0,0,0,0,0,42,14,153,274,675
1,3,208107,91420,83842,77051,6791,5219,1056,265,218,33,82,82,0,0,0,0,0,130,53,636,1070,5607
1,5,25782,8538,8045,7118,927,599,103,91,60,74,22,22,0,0,0,0,0,80,0,182,98,111
1,7,22527,7946,7589,6747,842,798,44,0,0,0,37,37,0,0,0,0,0,10,0,44,58,208
1,9,57645,21148,20426,18225,2201,1642,349,94,58,58,31,0,31,0,0,0,0,24,0,40,150,477
1,11,10352,3940,3602,3115,487,343,29,0,0,115,0,0,0,0,0,0,0,0,0,230,0,108
1,13,20025,7769,7483,6513,970,779,134,37,20,0,0,0,0,0,0,0,0,0,0,72,92,122
1,15,115098,47147,44491,39985,4506,3372,562,346,77,149,152,136,0,0,16,0,0,84,0,588,393,1439
1,17,33826,14396,13917,12273,1644,1435,145,13,0,51,27,27,0,0,0,0,0,0,0,91,103,258
1,19,25853,9671,9333,8038,1295,1004,165,76,10,40,22,22,0,0,0,0,0,0,0,29,118,169
1,21,43930,17207,16529,14379,2150,1393,556,181,5,15,0,0,0,0,0,0,0,0,0,77,172,429
1,23,13075,4128,3926,3391,535,345,75,24,0,91,0,0,0,0,0,0,0,0,4,60,62,76
1,25,24387,7529,7342,6647,695,476,108,66,6,39,11,0,0,0,0,11,0,0,9,49,44,74
1,27,13378,5427,5179,4879,300,176,89,18,17,0,0,0,0,0,0,0,0,0,0,40,31,177
1,29,14938,5355,5128,4357,771,712,32,17,10,0,1,1,0,0,0,0,0,0,0,40,8,178
1,31,51288,22274,21132,19289,1843,1478,288,65,12,0,0,0,0,0,0,0,0,82,85,191,192,592
1,33,54495,22074,21327,19914,1413,1134,181,39,30,29,22,13,0,0,0,9,11,23,0,107,123,461
1,35,12514,3876,3719,3467,252,107,80,47,0,18,8,0,0,0,8,0,0,0,21,33,3,92
1,37,10855,3995,3716,3355,361,304,24,0,33,0,18,18,0,0,0,0,0,0,0,62,22,177
1,39,37351,14709,14058,12874,1184,988,128,39,10,19,7,7,0,0,0,0,6,30,28,153,191,236
1,41,13865,5561,5148,4545,603,460,99,44,0,0,30,30,0,0,0,0,0,3,5,97,42,236
1,43,82313,32668,31631,28607,3024,2551,341,76,25,31,34,34,0,0,0,0,0,7,8,194,110,684
1,45,49255,20088,18648,17211,1437,1256,121,48,12,0,7,7,0,0,0,0,82,27,38,532,149,605
1,47,40029,13991,13369,12085,1284,985,229,57,5,8,0,0,0,0,0,0,0,0,34,203,182,203
1,49,71200,28264,27127,24212,2915,2172,403,218,19,103,15,15,0,0,0,0,0,40,9,269,67,737
1,51,81212,33582,32185,29130,3055,2553,289,38,169,6,42,19,0,23,0,0,0,66,0,245,185,859
1,53,37328,11999,11825,10986,839,570,214,14,41,0,0,0,0,0,0,0,0,0,8,51,34,81
1,55,102939,41319,38958,35321,3637,3147,275,119,51,45,86,72,0,0,0,14,0,37,35,346,211,1646
1,57,16585,6296,6057,5407,650,514,70,23,39,4,0,0,0,0,0,0,0,0,0,84,25,130
1,59,31542,12771,12282,10627,1655,1186,349,29,82,9,26,26,0,0,0,0,0,0,0,100,193,170
1,61,26491,9908,9409,8291,1118,805,132,63,105,13,3,3,0,0,0,0,0,20,12,61,232,171
1,63,8426,2204,2074,1812,262,249,3,3,0,7,0,0,0,0,0,0,0,0,4,17,27,82
1,65,14887,4990,4766,4411,355,223,57,15,60,0,6,0,0,0,6,0,0,0,0,8,54,156
1,67,17124,6834,6441,5959,482,345,103,21,6,7,0,0,0,0,0,0,0,4,0,42,199,148
1,69,104352,43707,41831,38637,3194,2490,390,151,111,52,41,41,0,0,0,0,36,47,42,326,266,1118
1,71,52094,19852,18887,17132,1755,1372,254,82,43,4,8,8,0,0,0,0,0,14,5,295,104,539
1,73,659892,297470,278148,249038,29110,22840,3586,1339,803,542,2694,2577,63,12,19,23,275,291,455,4133,2233,9241
1,75,13933,5283,5190,4662,528,413,45,38,15,17,36,36,0,0,0,0,0,3,1,4,0,49
1,77,92585,39558,37852,34830,3022,2244,493,117,75,93,13,13,0,0,0,0,31,11,85,667,156,743
1,79,33171,12388,11919,10805,1114,921,131,12,24,26,18,18,0,0,0,0,0,0,0,127,53,271
1,81,159287,72229,66775,60978,5797,4671,717,136,230,43,504,449,14,41,0,0,39,151,245,1328,378,2809
1,83,93052,39277,37517,34424,3093,2739,155,102,73,24,71,71,0,0,0,0,5,65,15,221,242,1141
1,85,10236,3360,3231,2873,358,316,23,19,0,0,12,12,0,0,0,0,0,0,6,15,65,31
1,87,19054,7144,6528,5977,551,469,71,11,0,0,37,37,0,0,0,0,0,0,15,424,63,77
1,89,357560,171047,160799,150637,10162,8028,1376,478,82,198,300,300,0,0,0,0,33,226,211,1514,1715,6249
1,91,19538,6416,6011,5724,287,205,47,32,3,0,0,0,0,0,0,0,0,0,0,78,122,205
1,93,29965,11733,11366,10106,1260,918,243,61,35,3,6,6,0,0,0,0,0,0,0,74,98,189
1,95,95145,38549,36609,32897,3712,2838,546,221,19,88,197,197,0,0,0,0,9,25,2,497,142,1068
1,97,414659,172096,160357,148395,11962,8888,1801,683,232,358,802,780,0,22,0,0,39,100,150,1940,1317,7391
1,99,21512,6349,6006,5814,192,175,4,12,0,1,42,6,0,0,0,36,0,0,0,17,69,215
1,101,226941,99723,93361,84330,9031,7417,1100,401,91,22,546,546,0,0,0,0,0,76,127,1553,502,3558
1,103,119122,50735,48748,45160,3588,2565,526,294,128,75,198,93,0,0,0,105,20,52,60,390,287,980
1,105,9486,2315,2139,1947,192,138,0,33,21,0,0,0,0,0,0,0,0,0,0,47,100,29
1,107,20298,7016,6435,5760,675,516,87,23,0,49,6,6,0,0,0,0,0,0,0,131,25,419
1,109,33403,13757,12616,11501,1115,1005,65,19,17,9,19,19,0,0,0,0,0,19,1,384,215,503
1,111,22574,8516,8129,7260,869,686,135,20,0,28,11,11,0,0,0,0,0,0,0,10,55,311
1,113,58213,24304,23087,21111,1976,1567,311,63,0,35,57,57,0,0,0,0,46,30,0,310,149,625
1,115,87306,38109,36465,33011,3454,2373,446,433,189,13,83,83,0,0,0,0,0,55,0,147,394,965
1,117,211261,104383,97528,89907,7621,5550,1319,670,55,27,30,0,0,0,16,14,0,175,21,802,430,5397
1,119,12985,4045,3819,3420,399,320,28,35,11,5,17,17,0,0,0,0,0,7,0,152,0,50
1,121,80565,30336,28502,25746,2756,2044,587,94,31,0,107,107,0,0,0,0,26,55,6,602,254,784
