GISJOIN,YEAR,REGIONA,DIVISIONA,STATE,STATEA,COUNTYA,COUSUBA,PLACEA,TRACTA,BLKGRPA,CONCITA,AIANHHA,RES_ONLYA,TRUSTA,AITSCEA,ANRCA,CBSAA,CSAA,METDIVA,NECTAA,CNECTAA,NECTADIVA,UAA,CDCURRA,SLDUA,SLDLA,ZCTA5A,SUBMCDA,SDELMA,SDSECA,SDUNIA,PUMA5A,BTTRA,BTBGA,NAME_E,AJWME001,AJWVE001,AJWVE002,AJWVE003,AJWVE004,AJWVE005,AJWVE006,AJWVE007,AJWVE008,AJWVE009,AJWVE010,AJWVE011,AJWVE012,AJWVE013,AJWVE014,AJWVE015,AJWVE016,AJWVE017,AJWVE018,AJWVE019,AJWVE020,AJWVE021,AJXCE001,AJXCE002,AJXCE003,AJXCE004,AJXCE005,AJXCE006,AJXCE007,AJXCE008,AJXCE009,AJXCE010,AJXCE011,AJXCE012,AJXCE013,AJXCE014,AJXCE015,AJXCE016,AJXCE017,AJXCE018,AJXCE019,AJXCE020,AJXCE021,AJXEE001,AJXEE002,AJXEE003,AJXEE004,AJXEE005,AJXEE006,AJXEE007,AJXEE008,AJXEE009,AJXEE010,AJXEE011,AJXEE012,AJXEE013,AJXKE001,AJXKE002,AJXKE003,AJXKE004,AJXKE005,AJXKE006,AJXKE007,AJXKE008,AJXKE009,AJYPE001,AJYPE002,AJYPE003,AJYPE004,AJYPE005,AJYPE006,AJYPE007,AJYPE008,AJYPE009,AJYPE010,AJYPE011,AJYPE012,AJYPE013,AJYPE014,AJYPE015,AJYPE016,AJYPE017,AJYPE018,AJYPE019,AJYPE020,AJYPE021,AJYPE022,AJYPE023,AJYPE024,AJYPE025,AJY2E001,AJY2E002,AJY2E003,AJY2E004,AJY2E005,AJY2E006,AJY2E007,AJY2E008,AJY2E009,AJY2E010,AJY2E011,AJY2E012,AJY2E013,AJY2E014,AJZAE001,AJZVE001,AJZVE002,AJZVE003,AJ0EE001,AJ1CE001,AJ1CE002,AJ1CE003,AJ1CE004,AJ1CE005,AJ1CE006,AJ1CE007,AJ1SE001,AJ1TE001,AJ1TE002,AJ1TE003,AJ14E001,AJ14E002,AJ14E003,AJ14E004,AJ14E005,AJ14E006,AJ14E007,AJ14E008,AJ2ME001,AJ2ME002,AJ2ME003,AJ2ME004,AJ2ME005,AJ2ME006,AJ2ME007,AJ2ME008,AJ2ME009,AJ2ME010,AJ2ME011,AJ2NE001,AJ3EE001,AJ3QE001,NAME_M,AJWMM001,AJWVM001,AJWVM002,AJWVM003,AJWVM004,AJWVM005,AJWVM006,AJWVM007,AJWVM008,AJWVM009,AJWVM010,AJWVM011,AJWVM012,AJWVM013,AJWVM014,AJWVM015,AJWVM016,AJWVM017,AJWVM018,AJWVM019,AJWVM020,AJWVM021,AJXCM001,AJXCM002,AJXCM003,AJXCM004,AJXCM005,AJXCM006,AJXCM007,AJXCM008,AJXCM009,AJXCM010,AJXCM011,AJXCM012,AJXCM013,AJXCM014,AJXCM015,AJXCM016,AJXCM017,AJXCM018,AJXCM019,AJXCM020,AJXCM021,AJXEM001,AJXEM002,AJXEM003,AJXEM004,AJXEM005,AJXEM006,AJXEM007,AJXEM008,AJXEM009,AJXEM010,AJXEM011,AJXEM012,AJXEM013,AJXKM001,AJXKM002,AJXKM003,AJXKM004,AJXKM005,AJXKM006,AJXKM007,AJXKM008,AJXKM009,AJYPM001,AJYPM002,AJYPM003,AJYPM004,AJYPM005,AJYPM006,AJYPM007,AJYPM008,AJYPM009,AJYPM010,AJYPM011,AJYPM012,AJYPM013,AJYPM014,AJYPM015,AJYPM016,AJYPM017,AJYPM018,AJYPM019,AJYPM020,AJYPM021,AJYPM022,AJYPM023,AJYPM024,AJYPM025,AJY2M001,AJY2M002,AJY2M003,AJY2M004,AJY2M005,AJY2M006,AJY2M007,AJY2M008,AJY2M009,AJY2M010,AJY2M011,AJY2M012,AJY2M013,AJY2M014,AJZAM001,AJZVM001,AJZVM002,AJZVM003,AJ0EM001,AJ1CM001,AJ1CM002,AJ1CM003,AJ1CM004,AJ1CM005,AJ1CM006,AJ1CM007,AJ1SM001,AJ1TM001,AJ1TM002,AJ1TM003,AJ14M001,AJ14M002,AJ14M003,AJ14M004,AJ14M005,AJ14M006,AJ14M007,AJ14M008,AJ2MM001,AJ2MM002,AJ2MM003,AJ2MM004,AJ2MM005,AJ2MM006,AJ2MM007,AJ2MM008,AJ2MM009,AJ2MM010,AJ2MM011,AJ2NM001,AJ3EM001,AJ3QM001
"G010","2014-2018",,,"Alabama","01",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Alabama",4864680,4864680,4661534,3196730,1285737,23243,63936,1521,7503,82864,2235,80629,203146,120723,7449,2333,673,661,62552,8755,4844,3911,2051445,1934423,1760032,174391,135992,23411,8459,3682,2847,6959,6427,126,98,65,243,741,2238,2115,22977,15111,66881,1984564,51349,187045,279860,334026,313420,133836,293268,57260,59753,151641,86216,36890,1860269,1229905,883386,346519,78523,267996,630364,548612,81752,3299958,41240,472,496,801,1831,5304,4582,6895,21392,22023,44356,68661,93256,97758,60976,838776,181396,199534,514121,273493,515443,221842,50429,34881,1860269,1755401,58860,13692,45168,21296,2043,19253,18677,5467,13210,6035,865,5170,48486,1860269,276211,1584058,26846,3894696,2237164,2224606,2076708,147898,12558,1657532,2244462,2244462,1860269,384193,384193,67917,13246,27231,14173,77935,317,183374,2244462,35723,80214,362686,408787,327910,370348,253291,195216,93058,117229,1983,772,137200,"Alabama",0,0,393,847,2516,1178,1243,265,1299,3183,607,3099,393,3154,1000,620,232,512,3295,986,766,710,7865,8203,8306,3364,2986,1195,877,501,513,682,672,84,83,45,134,174,316,304,1206,1003,2140,8233,1669,3455,4244,3769,4237,3261,3717,1670,1739,3385,2248,1456,6522,6269,6445,3648,2159,3171,4397,4291,2253,1188,1648,127,153,175,302,562,504,602,1209,1202,1509,2298,2640,2554,1765,6848,2908,3539,5357,3743,5193,3434,1679,1303,6522,5955,1269,889,1375,980,316,910,920,564,871,618,229,557,364,6522,3358,6846,166,1458,6683,6628,7503,3501,734,6487,363,363,6522,6359,6359,2391,982,1551,948,1964,131,3833,363,1277,2060,3399,4388,3461,3222,3484,3301,2103,2250,1,4,735
"G020","2014-2018",,,"Alaska","02",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Alaska",738516,738516,687330,450754,22817,103506,45617,8544,1459,54633,645,53988,51186,28080,1312,3154,939,305,9568,7828,2829,4999,358627,290566,246808,43758,32201,6457,3147,1164,789,4981,4598,46,37,23,277,1045,488,3590,27575,13651,16731,341896,27388,62757,67020,64605,48686,13727,23169,3261,4367,10663,9695,6558,253462,167633,125847,41786,14959,26827,85829,65197,20632,477727,3479,97,66,40,504,642,594,607,1473,1126,3617,3233,6331,7390,5561,107913,25938,35716,93703,40052,88053,36794,9506,5292,253462,205765,11734,1081,10653,8102,527,7575,14074,2787,11287,13787,899,12888,76715,253462,33390,220072,35874,571528,396353,379219,351152,28067,17134,175175,315386,315386,253462,61924,61924,6691,1838,3251,1081,30985,364,17714,315386,2986,9002,52378,44521,80320,74431,26698,14887,5089,5074,1984,1231,265200,"Alaska",0,0,121,457,675,1355,969,413,566,1766,212,1734,121,1319,357,603,332,181,1166,745,525,596,1842,2199,2440,1763,1474,669,527,246,161,523,516,59,28,31,77,185,128,438,1128,667,803,1863,1039,1738,1712,1815,1784,891,1038,394,383,649,692,517,1351,1876,1680,1287,919,1005,1668,1659,935,371,474,60,57,20,188,149,112,161,255,182,323,289,512,499,441,1954,1087,1239,1816,1179,1745,1313,786,523,1351,1748,588,270,605,565,135,535,652,376,562,559,113,548,894,1351,927,1416,389,513,1893,1831,1873,1191,744,1852,198,198,1351,1302,1302,615,339,450,192,806,82,823,198,404,640,1213,993,1377,1373,965,786,390,378,1,13,1871
"G040","2014-2018",,,"Arizona","04",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Arizona",6946685,6946685,4783373,3825886,286614,271946,222477,12523,9177,154750,5011,149739,2163312,1538255,18645,37634,6410,1589,462646,98133,45157,52976,3008707,2632801,2306027,326774,250091,47031,15959,8880,4813,57302,52612,2319,1235,883,253,4477,12538,27178,57910,33773,182728,2825979,72835,273815,372716,436062,435323,206037,414607,88164,118113,221507,133720,53080,2524300,1648126,1200133,447993,138254,309739,876174,689602,186572,4633932,69737,710,896,3815,5991,13724,9556,12742,65142,15961,68009,76200,78493,95350,96676,927855,184696,352036,820125,398147,835120,362611,83023,57317,2524300,1824522,498155,77375,420780,71981,6740,65241,61190,11909,49281,68452,11199,57253,56213,2524300,313003,2211297,29265,5498826,3274526,3256192,3045978,210214,18334,2224300,2970935,2970935,2524300,446635,446635,67734,14859,35847,18339,214929,1152,93775,2970935,54839,81692,730081,600061,529271,501428,220731,163053,44219,45560,1990,1009,209600,"Arizona",0,0,0,1181,2564,1835,2133,512,1298,3960,667,3894,0,9886,1490,2670,942,449,7973,3814,2425,2611,8646,9734,9270,5309,4185,2065,1177,804,473,2125,2087,367,256,215,139,593,773,1363,1756,1344,3178,8898,1473,4031,4484,4814,4824,3570,6036,2442,2421,3431,2832,1845,6840,7057,8008,4804,2900,3967,5604,5275,2991,583,1874,179,210,566,584,967,942,908,2371,887,1824,2009,2342,2714,2342,7247,3265,4682,6328,4241,5125,4658,1868,1782,6840,6297,2774,2109,3346,1887,590,1851,1380,670,1346,1473,568,1324,275,6840,3127,7009,142,1638,8530,8560,9071,3316,797,8591,599,599,6840,7040,7040,2381,1185,1421,1305,4019,220,2438,599,1701,1921,4429,4335,4264,4443,2896,2408,1535,1268,1,4,904
"G050","2014-2018",,,"Arkansas","05",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Arkansas",2990671,2990671,2771619,2173849,458536,17342,43441,7877,4641,65933,1297,64636,219052,129025,2434,2695,547,92,74340,9919,6026,3893,1274750,1189092,1055112,133980,100515,20412,7285,3414,2354,4631,4322,50,110,72,77,801,2134,2205,22089,10341,43457,1231293,55440,169607,215732,216440,175100,68064,138980,26865,32094,70461,42158,20352,1152175,764816,558867,205949,52998,152951,387359,327441,59918,1999307,22927,251,383,544,1860,4848,3514,5171,17758,12708,30420,37717,47019,57990,32919,557808,123415,136060,315304,139070,288720,115355,27579,19967,1152175,1067975,56087,14266,41821,12015,938,11077,13531,3561,9970,2567,275,2292,45726,1152175,151953,1000222,25635,2364108,1372359,1368037,1292263,75774,4322,991749,1362040,1362040,1152175,209865,209865,36943,6237,17258,8302,53208,500,87417,1362040,26116,51624,231302,244616,207964,250008,140380,94158,50052,65820,1984,729,123300,"Arkansas",0,0,321,793,1812,977,1080,627,985,2122,323,2061,321,2748,451,634,197,83,3062,1178,919,660,6555,6648,6149,3156,2549,1147,743,579,351,521,516,58,81,53,51,219,341,317,1234,890,1620,6584,1768,2844,3508,3535,2933,1881,2733,1198,1398,1668,1334,1110,4053,4296,4462,3032,1837,2311,3793,3858,1676,967,1080,85,173,178,373,699,476,588,1049,861,1057,1373,1476,2002,1278,5239,2503,2771,4205,2718,4006,2791,1241,1094,4053,3854,1267,964,1278,721,210,702,648,445,593,374,95,358,350,4053,2470,4240,195,1331,6334,6311,6408,2163,416,6302,258,258,4053,3983,3983,1926,637,901,811,1679,179,2134,258,1276,1592,2751,3298,3508,2993,2479,2228,1608,1443,1,4,781
"G060","2014-2018",,,"California","06",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"California",39148760,39148760,23927183,14695836,2164519,138427,5525439,138911,97763,1166288,51799,1114489,15221577,8833232,103356,158048,78900,14455,5317647,715939,354032,361907,17904213,15039427,13203972,1835455,1350936,279525,111333,56220,37441,910567,588949,22326,210027,78582,10683,25127,60775,180761,474721,192025,1020810,16883403,304818,1287249,2091265,2490499,2394143,1009007,2543384,458056,734197,1507217,1393436,670132,12965435,8915228,6437416,2477812,773046,1704766,4050207,3084533,965674,26218885,701772,6811,10025,36246,84552,172073,108491,146865,769722,124539,310093,492650,349498,481594,680634,4786892,604228,1498152,4083998,2051313,5445781,2222636,627892,422428,12965435,7285584,3340611,654826,2685785,759348,118755,640593,1424539,378658,1045881,155353,27514,127839,71228,12965435,1321440,11643995,35021,31109195,19758291,19630514,18309012,1321502,127777,11350904,14084824,14084824,12965435,1119389,1119389,217600,59317,83128,52890,388227,3312,314915,14084824,152162,230279,1598759,1536758,2135838,2488636,1892586,1900467,849660,1299679,1974,1429,475900,"California",0,0,0,3121,6255,2841,8702,2227,3056,13507,2448,12878,0,26248,4744,5021,3224,1538,34416,14668,9400,8706,22700,23522,18894,14997,10705,5168,2886,2429,1600,6572,5646,1217,3502,2108,786,1559,1987,3703,5255,3866,7531,25283,4537,7823,10320,12194,11527,7641,11577,5733,6623,9613,8427,6583,19785,24043,30928,11008,6430,8349,10913,10227,7678,1095,8948,480,833,1611,2499,2979,3019,3186,10737,2664,5180,6953,5346,6317,6693,27452,6997,16548,21991,11158,19169,15841,6349,5012,19785,19263,8282,6184,9322,5326,2522,4635,6018,4027,6428,2391,1272,2209,217,19785,6770,21594,108,3509,23255,23119,21745,10823,2319,23795,922,922,19785,20059,20059,5499,2346,3166,2499,5591,443,7661,922,2652,3174,6276,6864,7874,8230,8416,8725,6089,6093,1,2,733
"G080","2014-2018",,,"Colorado","08",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Colorado",5531141,5531141,4346347,3778212,216732,30131,169556,7480,10352,133884,4472,129412,1184794,877372,11206,24352,3139,816,204465,63444,29839,33605,2822072,2374938,2125477,249461,188180,37939,14344,6301,2697,86516,67401,2557,10676,5583,299,1731,4711,33829,80354,21779,218214,2603858,72557,253648,353163,404695,395031,176495,369921,83519,99547,209482,133529,52271,2113387,1351683,1050035,301648,97891,203757,761704,578532,183172,3748592,35883,431,598,1503,3080,6093,4412,6915,35856,9617,29217,39105,44023,53024,52961,657022,146409,232804,570533,314214,944470,409786,87493,63143,2113387,1733643,245529,39187,206342,67619,6403,61216,46226,10564,35662,20370,4055,16315,68811,2113387,182295,1931092,36415,4409148,3012312,2978700,2839374,139326,33612,1396836,2352202,2352202,2113387,238815,238815,38412,9622,16072,7334,116920,746,49709,2352202,55190,69784,424374,392256,341166,437144,204884,179513,63720,184171,1983,1196,313600,"Colorado",0,0,366,1322,2260,1090,1824,415,1333,3379,652,3285,366,5647,1146,1691,543,310,5122,2853,1758,2279,6790,7132,7967,3907,3411,1850,1186,751,358,2352,2154,419,609,581,130,348,413,1184,2111,1194,2852,7101,2202,3516,4832,4918,4857,2659,4233,1904,2288,3138,2539,1757,4542,6051,7250,4052,2106,3126,5103,4607,2565,950,1583,119,136,348,496,708,690,646,1737,859,1613,1583,1674,1724,1631,6129,2602,3577,4773,3912,5943,4268,1864,1520,4542,6007,2614,1608,2581,1762,497,1648,1015,610,1009,898,574,767,364,4542,2870,5750,167,1623,6150,6229,6507,2465,1267,6162,668,668,4542,4185,4185,1790,971,993,853,1840,203,1744,668,1685,1613,3641,3795,3314,3721,2819,2445,1660,2405,1,5,1077
"G090","2014-2018",,,"Connecticut","09",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Connecticut",3581504,3581504,3019713,2418696,351817,5320,157406,752,11421,74301,4821,69480,561791,316184,26445,4378,1411,421,173823,39129,20083,19046,1780653,1535452,1391925,143527,114248,16759,6390,3325,2805,84347,41788,351,2226,39810,172,2505,1284,4895,49525,12079,90566,1690087,43216,158428,250417,267033,261338,112588,213172,49224,63227,117378,97699,56367,1367374,892940,660364,232576,61758,170818,474434,390350,84084,2478708,25659,299,337,1175,2064,4887,5367,7977,18547,8004,26752,27957,36056,35711,35034,591158,79361,129622,286645,190869,538924,309751,74380,42172,1367374,1033442,167242,40272,126970,118457,20980,97477,33890,8033,25857,14343,1852,12491,76106,1367374,177427,1189947,43056,2924591,1944843,1936354,1810445,125909,8489,979748,1512305,1512305,1367374,144931,144931,31889,6426,16808,6544,29855,93,53316,1512305,10251,19181,103632,115459,191306,201360,206299,222628,104394,337795,1964,1156,272700,"Connecticut",0,0,0,1034,1870,598,1395,200,1287,2467,595,2381,0,5137,2189,973,354,181,5287,2184,1485,1684,5383,6331,6347,3578,3003,1105,826,509,444,2121,1828,139,313,1126,69,372,254,495,1834,958,2176,6129,1717,3042,3700,3583,3201,2519,2966,1509,1758,2152,2087,1884,3671,4443,4850,3193,1903,2706,3819,3315,1948,350,1186,102,114,262,424,641,582,834,1239,832,1370,1182,1277,1241,1274,5962,2034,2587,3935,2987,4392,3608,1708,1422,3671,3709,1630,1313,1962,2123,1129,1836,1000,627,960,792,281,788,552,3671,2354,4557,282,1230,5006,4968,5049,2445,480,4962,282,282,3671,3678,3678,1551,614,1208,709,1161,94,2045,282,726,921,2195,1990,2456,2875,3096,3279,1893,3647,1,5,985
"G100","2014-2018",,,"Delaware","10",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Delaware",949495,949495,863180,595623,204665,2851,36464,276,1804,21497,692,20805,86315,59282,5227,604,259,201,16230,4512,1886,2626,444908,396966,360365,36601,28510,5055,1376,1044,616,11739,9067,82,319,2196,75,137,433,1328,9518,3154,21633,423275,9094,35938,62199,69660,70184,29287,57695,11312,15008,29173,22943,10782,357765,237901,174333,63568,16416,47152,119864,97487,22377,659979,6867,161,110,229,395,936,653,1000,4123,2190,6210,8197,12535,13701,10175,187042,21515,39834,85352,51522,120794,62275,12399,11764,357765,308768,23725,4703,19022,12504,1523,10981,9448,1890,7558,3320,123,3197,65627,357765,44066,313699,33989,769793,482623,479447,450946,28501,3176,287170,428251,428251,357765,70486,70486,7972,1122,5081,2408,39545,26,14332,428251,10360,16602,80974,68481,58609,51174,44208,42815,19668,35360,1984,1110,244700,"Delaware",0,0,0,324,1116,369,705,73,431,1293,253,1304,0,2174,829,286,149,302,1780,704,400,593,2826,3200,3347,1615,1351,636,264,419,179,855,705,52,127,355,64,78,148,262,731,444,1058,3003,708,1336,1774,2003,1985,1354,1639,761,1063,1397,1083,743,1676,2194,2127,1766,774,1418,2454,2134,979,249,787,94,54,144,153,228,186,264,626,345,679,770,746,943,691,2771,936,1599,2184,1653,1823,1569,817,737,1676,1839,721,467,759,683,241,640,470,264,436,426,75,424,768,1676,1034,1824,382,600,2729,2745,2671,1209,400,2700,178,178,1676,1742,1742,772,298,699,392,917,31,997,178,616,881,1712,1476,1501,1566,1310,1097,817,1087,1,9,1520
"G110","2014-2018",,,"District of Columbia","11",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"District of Columbia",684498,684498,609722,248057,315281,1314,26278,280,2648,15864,760,15104,74776,32412,6036,679,440,60,30870,4279,1871,2408,366168,144993,125462,19531,14271,3310,1039,576,335,127530,50181,712,75595,1000,42,3131,557,16350,48047,3155,22405,343763,4040,14137,25533,39756,52016,26971,69168,18121,22763,41146,23228,6884,281322,121788,71726,50062,9811,40251,159534,124201,35333,486981,5399,144,19,355,512,1248,852,1497,3257,1730,3973,5531,6759,8912,5617,70723,12849,16914,45704,14637,118817,100571,40220,20741,281322,226884,24771,5876,18895,16481,1216,15265,6434,1431,5003,6752,1428,5324,82604,281322,41172,240150,53321,573275,401740,398567,369194,29373,3173,171535,311545,311545,281322,30223,30223,10492,1822,1905,1352,3490,0,11162,311545,8053,9946,26453,9258,13518,23356,36000,39749,36548,108664,1953,1487,568400,"District of Columbia",0,0,0,358,1027,186,594,75,621,1026,208,1001,0,1904,1001,464,180,47,1879,765,507,519,2437,2469,2329,1130,963,527,250,223,172,2737,2026,219,2042,185,49,414,182,989,1713,460,1116,2572,537,976,1245,1421,1793,1155,2125,991,1161,1578,1101,586,1459,1584,1313,1053,605,978,1670,1791,1029,106,700,78,26,185,245,401,268,355,519,331,542,611,526,723,527,1900,845,983,1640,950,2133,1931,1436,1143,1459,1506,782,513,819,813,287,766,405,288,440,500,284,457,1081,1459,1230,1942,647,457,2377,2430,2358,1256,311,2357,136,136,1459,1425,1425,852,439,368,308,505,29,776,136,504,637,977,636,823,930,1106,1318,1209,1525,1,16,7984
"G120","2014-2018",,,"Florida","12",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Florida",20598139,20598139,15413419,11196857,3167011,41776,548642,10770,68744,379619,24067,355552,5184720,4332241,149365,16342,10526,2117,511408,162721,68455,94266,9140393,8096487,7255390,841097,645120,118199,43685,21406,12687,176146,157889,1289,9586,6519,863,16176,24884,58229,129987,103965,534519,8605874,150310,615600,1010012,1286170,1369532,583736,1446327,289694,367507,787369,503680,195937,7621760,4917841,3560518,1357323,370231,987092,2703919,2188759,515160,14686727,217948,4133,3079,8925,17094,38446,32368,47359,147540,65779,141153,211071,251295,269658,313641,3616947,614731,941022,2022451,1438630,2721635,1081844,310270,169708,7621760,5425108,1556768,412810,1143958,449760,77619,372141,133682,26423,107259,56442,7394,49048,53267,7621760,1122809,6498951,30197,16932309,9931799,9876910,9253932,622978,54889,7000510,9348689,9348689,7621760,1726929,1726929,249404,46992,119137,61949,908457,3906,337084,9348689,182026,230396,1841784,1601928,1907366,1671892,856245,662846,192250,201956,1986,1128,196800,"Florida",0,0,0,3346,6159,1520,3109,846,3694,8121,2149,8129,0,11874,5662,1744,1048,463,10442,5709,3725,4346,18857,19602,17096,11178,8571,3931,2130,1490,1168,4470,4450,298,830,713,248,1262,1225,2193,3016,3089,7046,18959,3401,7271,7556,9574,9167,6806,10975,4826,4998,8036,5872,3899,23468,23203,23030,7861,5108,6220,12480,11767,5314,1719,4572,471,415,846,1474,2025,1416,1962,4138,2392,3589,5061,4425,4356,5814,27717,6830,11230,12242,11342,16901,10439,4675,3522,23468,18740,7638,4334,8442,4614,1797,4608,2663,1072,2447,1663,566,1636,181,23468,7270,22410,135,3606,18122,17583,18237,6448,1825,18011,789,789,23468,23836,23836,5799,2165,4134,2487,10489,481,7393,789,3370,3896,8017,8216,7937,8630,5746,4986,2511,2832,1,3,552
