name,fips
Alabama,1
Alaska,2
Arizona,4
Arkansas,5
California,6
Colorado,8
Connecticut,9
Delaware,10
Florida,12
Georgia,13
Hawaii,15
Idaho,16
Illinois,17
Indiana,18
Iowa,19
Kansas,20
Kentucky,21
Louisiana,22
Maine,23
Maryland,24
Massachusetts,25
Michigan,26
Minnesota,27
Mississippi,28
Missouri,29
Montana,30
Nebraska,31
Nevada,32
New Hampshire,33
New Jersey,34
New Mexico,35
New York,36
North Carolina,37
North Dakota,38
Ohio,39
Oklahoma,40
Oregon,41
Pennsylvania,42
Rhode Island,44
South Carolina,45
South Dakota,46
Tennessee,47
Texas,48
Utah,49
Vermont,50
Virginia,51
Washington,53
West Virginia,54
Wisconsin,55
Wyoming,56
American Samoa,60
Guam,66
Northern Mariana Islands,69
Puerto Rico,72
Virgin Islands,78
AL,1
AK,2
AZ,4
AR,5
CA,6
CO,8
CT,9
DE,10
FL,12
GA,13
HI,15
ID,16
IL,17
IN,18
IA,19
KS,20
KY,21
LA,22
ME,23
MD,24
MA,25
MI,26
MN,27
MS,28
MO,29
MT,30
NE,31
NV,32
NH,33
NJ,34
NM,35
NY,36
NC,37
ND,38
OH,39
OK,40
OR,41
PA,42
RI,44
SC,45
SD,46
TN,47
TX,48
UT,49
VT,50
VA,51
WA,53
WV,54
WI,55
WY,56
1,1
2,2
4,4
5,5
6,6
8,8
9,9
10,10
12,12
13,13
15,15
16,16
17,17
18,18
19,19
20,20
21,21
22,22
23,23
24,24
25,25
26,26
27,27
28,28
29,29
30,30
31,31
32,32
33,33
34,34
35,35
36,36
37,37
38,38
39,39
40,40
41,41
42,42
44,44
45,45
46,46
47,47
48,48
49,49
50,50
51,51
53,53
54,54
55,55
56,56
